customer_unique_id,customer_type,language,customer_category,date_of_birth,minor,sex,marital_status
88642007,I,ENG,IND,1980-04-21 00:00:00,N,M,M
97642007,I,ENG,IND,1974-12-12 00:00:00,N,M,M
52652008,I,ENG,IND,1975-03-05 00:00:00,N,M,S
30602009,I,ENG,IND,1980-10-16 00:00:00,N,M,S
52662009,I,ENG,IND,1982-03-06 00:00:00,N,M,S
67672009,I,ENG,IND,1980-05-21 00:00:00,N,M,S
75622009,I,ENG,IND,1981-05-06 00:00:00,N,F,S
38702001,I,ENG,IND,1962-07-27 00:00:00,N,M,M
89702001,I,ENG,IND,1973-03-08 00:00:00,N,M,M
78742002,I,ENG,IND,1956-03-26 00:00:00,N,M,M
89722002,I,ENG,IND,1970-01-15 00:00:00,N,M,M
2752003,I,ENG,IND,1900-01-01 00:00:00,N,M,M
5722003,I,ENG,IND,1971-04-01 00:00:00,N,M,M
16792003,I,ENG,IND,1962-10-19 00:00:00,N,M,M
91732003,I,ENG,IND,1982-07-03 00:00:00,N,F,S
99722003,I,ENG,IND,1980-05-01 00:00:00,N,M,M
22742004,I,ENG,IND,1981-03-10 00:00:00,N,F,M
28712004,I,ENG,IND,1973-11-11 00:00:00,N,M,M
46792004,I,ENG,IND,1959-10-03 00:00:00,N,M,M
62772004,I,ENG,IND,1979-08-07 00:00:00,N,M,S
81742004,I,ENG,IND,1982-07-21 00:00:00,N,F,S
89792004,I,ENG,IND,1979-05-24 00:00:00,N,M,S
94702004,I,ENG,IND,1983-05-05 00:00:00,N,M,S
7792005,I,ENG,IND,1975-11-22 00:00:00,N,M,S
13792005,I,ENG,IND,1964-04-10 00:00:00,N,M,M
22792005,I,ENG,IND,1963-12-25 00:00:00,N,M,M
4772006,I,ENG,IND,1964-05-18 00:00:00,N,F,M
9722006,I,ENG,IND,1979-10-25 00:00:00,N,F,S
26732006,I,ENG,IND,1982-03-07 00:00:00,N,F,M
27782006,I,ENG,IND,1981-10-23 00:00:00,N,F,S
57792007,I,ENG,IND,1978-09-09 00:00:00,N,F,S
68752008,I,ENG,IND,1978-08-15 00:00:00,N,M,M
13722009,I,ENG,IND,1979-10-18 00:00:00,N,F,S
41722009,I,ENG,IND,1979-07-24 00:00:00,N,M,S
41732009,I,ENG,RSA,1980-09-24 00:00:00,N,F,S
84712009,I,ENG,IND,1960-01-01 00:00:00,N,M,M
87762009,I,ENG,IND,1960-09-23 00:00:00,N,M,M
30802000,I,ENG,IND,1972-12-15 00:00:00,N,M,M
62872000,I,ENG,IND,1980-04-16 00:00:00,N,M,S
74842000,I,ENG,IND,1977-10-01 00:00:00,N,M,M
44802001,I,ENG,IND,1971-05-29 00:00:00,N,M,M
4872002,I,ENG,IND,1985-09-29 00:00:00,N,M,S
25802002,I,ENG,IND,1968-08-06 00:00:00,N,M,M
49882002,I,ENG,IND,1977-12-26 00:00:00,N,F,M
79872002,I,ENG,IND,1975-02-05 00:00:00,N,M,M
98862002,I,ENG,IND,1978-06-06 00:00:00,N,M,S
43812003,I,ENG,IND,1989-02-02 00:00:00,N,M,S
9892004,I,ENG,IND,1964-09-21 00:00:00,N,M,M
16882004,I,ENG,IND,1970-11-13 00:00:00,N,M,M
27882005,I,ENG,IND,1984-10-24 00:00:00,N,F,S
57852005,I,ENG,IND,1975-08-08 00:00:00,N,M,M
9852008,I,ENG,IND,1977-10-11 00:00:00,N,M,S
64882009,I,ENG,IND,1976-10-15 00:00:00,N,M,M
68872009,I,ENG,IND,1982-06-01 00:00:00,N,M,S
24942000,I,ENG,IND,1976-03-01 00:00:00,N,M,S
66972000,I,ENG,IND,1974-05-29 00:00:00,N,M,M
88932000,I,ENG,IND,1980-06-06 00:00:00,N,F,M
93972000,I,ENG,IND,1970-02-10 00:00:00,N,M,M
922001,I,ENG,IND,1978-04-22 00:00:00,N,M,S
21942001,I,ENG,IND,1972-06-16 00:00:00,N,M,M
26992001,I,ENG,IND,1982-10-18 00:00:00,N,F,S
44902001,I,ENG,IND,1977-03-27 00:00:00,N,F,S
46942001,I,ENG,IND,1978-06-21 00:00:00,N,M,S
54962001,I,ENG,IND,1983-10-17 00:00:00,N,M,S
84972001,I,ENG,IND,1979-01-02 00:00:00,N,M,S
